2019-09-16 18:04:28,935 INFO com.bank.AtmApplication [main] Starting AtmApplication on Bonggals-MacBook-Pro.local with PID 49337 (/Users/bonggalbaringinsiahaan/Documents/G2Academy/Proyek/Project/Program3/target/classes started by bonggalbaringinsiahaan in /Users/bonggalbaringinsiahaan/Documents/G2Academy/Proyek/Project/Program3)
2019-09-16 18:04:28,937 DEBUG com.bank.AtmApplication [main] Running with Spring Boot v2.1.8.RELEASE, Spring v5.1.9.RELEASE
2019-09-16 18:04:28,937 INFO com.bank.AtmApplication [main] No active profile set, falling back to default profiles: default
2019-09-16 18:04:31,602 INFO com.bank.AtmApplication [main] Started AtmApplication in 2.888 seconds (JVM running for 8.625)
2019-09-16 18:16:16,106 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '6501'
2019-09-16 18:17:05,181 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '6501'
2019-09-16 18:17:15,282 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,329 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,372 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,413 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,448 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,505 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,559 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,594 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,628 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,659 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,695 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,730 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,768 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,798 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,828 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,857 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,890 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,924 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,960 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:15,992 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,026 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,056 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,086 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,127 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,159 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,191 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,220 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
